DATA;DATA_TS;RES65;PM10;so2;co;o3;no2
23 de mar de 97;1997-03-23;8;56,917;19,516;2,1543;142,313;96,248
24 de mar de 97;1997-03-24;9;77,742;30,918;3,6543;152,877;197,16
25 de mar de 97;1997-03-25;6;51,94;23,89;2,1371;68,632;81,957
26 de mar de 97;1997-03-26;5;45,997;20,8175;2,2683;54,645;78,788
27 de mar de 97;1997-03-27;11;48,741;20,708;1,9171;71;82,485
28 de mar de 97;1997-03-28;7;39,83;12,3217;1,6057;64,71;46,018
29 de mar de 97;1997-03-29;4;39,619;12,5633;1,1414;59,508;54,98
30 de mar de 97;1997-03-30;8;48,09;17,6483;1,7071;56,723;70,512
31 de mar de 97;1997-03-31;8;52,972;24,9483;3,115;39,005;115,22
1 de abr de 97;1997-04-01;12;54,86;31,106;4,3243;26,508;90,482
2 de abr de 97;1997-04-02;7;52,235;29,696;4,48;41,483;97,822
3 de abr de 97;1997-04-03;5;46,97;31,378;4,3686;40,287;97,337
4 de abr de 97;1997-04-04;8;53,791;32,3083;4,5029;41,7;99,312
5 de abr de 97;1997-04-05;10;48,84;18,4983;2,91;53,627;74,557
6 de abr de 97;1997-04-06;8;45,581;15,545;1,6986;46,698;57,778
7 de abr de 97;1997-04-07;6;44,422;19,4317;2,2283;50,697;94,262
8 de abr de 97;1997-04-08;9;38,735;17,785;2,2871;34,88;79,665
9 de abr de 97;1997-04-09;7;38,478;16,702;2,1829;49,038;82,16
10 de abr de 97;1997-04-10;9;52,687;26,62;2,4857;78,542;111,645
11 de abr de 97;1997-04-11;9;81,087;35,95;4,0671;84,265;179,79
12 de abr de 97;1997-04-12;15;83,678;32,1517;5,1757;68,23;117,707
13 de abr de 97;1997-04-13;6;65,324;22,2217;2,5729;115,642;108,835
14 de abr de 97;1997-04-14;5;87,096;39,69;4,0186;123,844;223,333
15 de abr de 97;1997-04-15;12;83,186;47,1;3,2657;118,094;150,702
16 de abr de 97;1997-04-16;10;92,515;39,8967;3,4371;105,816;167,842
17 de abr de 97;1997-04-17;12;64,572;30,915;4,9329;37,68;109,698
18 de abr de 97;1997-04-18;10;55,98;35,3817;4,6571;34,137;108,538
19 de abr de 97;1997-04-19;12;50,361;30,7333;4,0743;47,117;104,892
20 de abr de 97;1997-04-20;13;34,508;16,0083;4,0457;29,482;55,325
21 de abr de 97;1997-04-21;15;25,518;8,3783;2,4914;56,648;57,47
22 de abr de 97;1997-04-22;13;43,587;23,47;2,5914;67,25;111,522
23 de abr de 97;1997-04-23;8;43,611;23,2567;2,7029;51,313;96,774
24 de abr de 97;1997-04-24;11;66,258;35,31;3,3229;63,518;164,328
25 de abr de 97;1997-04-25;13;86,661;56,9375;5,424;57,148;127,406
26 de abr de 97;1997-04-26;5;54,765;19,21;3,5767;99,184;98,228
27 de abr de 97;1997-04-27;11;56,449;21,482;1,76;101,398;88,054
28 de abr de 97;1997-04-28;11;59,217;38,272;4,3857;56,352;112,895
