DATA;DATA_TS;RES65;PM10;so2;co;o3;no2
21 de dez de 97;1997-12-21;17;37,005;6,05;3,2033;52,752;69,305
22 de dez de 97;1997-12-22;17;52,238;8,2825;3,9433;45,618;117,145
23 de dez de 97;1997-12-23;8;50,731;9,108;3,8229;50,732;85,687
24 de dez de 97;1997-12-24;9;54,308;7,334;3,4229;153,115;148,45
25 de dez de 97;1997-12-25;11;40,713;5,31;1,56;93,538;55,442
26 de dez de 97;1997-12-26;14;46,513;5,302;2,2143;68,305;84,23
27 de dez de 97;1997-12-27;15;38,002;5,528;2,1571;49,807;63,95
28 de dez de 97;1997-12-28;18;32,869;4,02;1,8914;43,913;53,817
29 de dez de 97;1997-12-29;24;37,888;6,748;2,9;69,402;101,205
30 de dez de 97;1997-12-30;21;52,08;6,775;3,1086;62,876;96,364
31 de dez de 97;1997-12-31;15;40,815;4,7075;2,6617;128,692;102,865
